PERMNO,date,TICKER
10107,20201201,MSFT
10107,20201202,MSFT
10107,20201203,MSFT
10107,20201204,MSFT
10107,20201207,MSFT
10107,20201208,MSFT
10107,20201209,MSFT
10107,20201210,MSFT
10107,20201211,MSFT
10107,20201214,MSFT
10107,20201215,MSFT
10107,20201216,MSFT
10107,20201217,MSFT
10107,20201218,MSFT
10107,20201221,MSFT
10107,20201222,MSFT
10107,20201223,MSFT
10107,20201224,MSFT
10107,20201228,MSFT
10107,20201229,MSFT
10107,20201230,MSFT
10107,20201231,MSFT
11850,20201201,XOM
11850,20201202,XOM
11850,20201203,XOM
11850,20201204,XOM
11850,20201207,XOM
11850,20201208,XOM
11850,20201209,XOM
11850,20201210,XOM
11850,20201211,XOM
11850,20201214,XOM
11850,20201215,XOM
11850,20201216,XOM
11850,20201217,XOM
11850,20201218,XOM
11850,20201221,XOM
11850,20201222,XOM
11850,20201223,XOM
11850,20201224,XOM
11850,20201228,XOM
11850,20201229,XOM
11850,20201230,XOM
11850,20201231,XOM
12060,20201201,GE
12060,20201202,GE
12060,20201203,GE
12060,20201204,GE
12060,20201207,GE
12060,20201208,GE
12060,20201209,GE
12060,20201210,GE
12060,20201211,GE
12060,20201214,GE
12060,20201215,GE
12060,20201216,GE
12060,20201217,GE
12060,20201218,GE
12060,20201221,GE
12060,20201222,GE
12060,20201223,GE
12060,20201224,GE
12060,20201228,GE
12060,20201229,GE
12060,20201230,GE
12060,20201231,GE
12339,20201201,TAL
12339,20201202,TAL
12339,20201203,TAL
12339,20201204,TAL
12339,20201207,TAL
12339,20201208,TAL
12339,20201209,TAL
12339,20201210,TAL
12339,20201211,TAL
12339,20201214,TAL
12339,20201215,TAL
12339,20201216,TAL
12339,20201217,TAL
12339,20201218,TAL
12339,20201221,TAL
12339,20201222,TAL
12339,20201223,TAL
12339,20201224,TAL
12339,20201228,TAL
12339,20201229,TAL
12339,20201230,TAL
12339,20201231,TAL
12369,20201201,GM
12369,20201202,GM
12369,20201203,GM
12369,20201204,GM
12369,20201207,GM
12369,20201208,GM
12369,20201209,GM
12369,20201210,GM
12369,20201211,GM
12369,20201214,GM
12369,20201215,GM
12369,20201216,GM
12369,20201217,GM
12369,20201218,GM
12369,20201221,GM
12369,20201222,GM
12369,20201223,GM
12369,20201224,GM
12369,20201228,GM
12369,20201229,GM
